A,B,edges,total_length_m,A_share_m,B_share_m
Houinmè,Houinmè-Daho,1,41.9,21.0,21.0
Abokicodji-Lagune,Ohé,1,37.5,18.8,18.8
Adovié,Akossavié,2,36.0,18.0,18.0
Cadjèhoun-Détinsa,Vodjè-Centre,1,35.0,17.5,17.5
Dossounou,Hêvié,1,33.5,16.7,16.7
Gbèdiga-Guêdêhounguè,Todoté,1,33.4,16.7,16.7
Dassèkomey,Zoungo,3,32.5,16.3,16.3
Ahouansori-Towéta-Kpota,Ladji,1,28.1,14.1,14.1
"Adjamè
",Dassèkomey,2,25.8,12.9,12.9
Hlouacomey,"Nonhouénou
",1,24.4,12.2,12.2
Drabo,Ouéga-Agué,2,24.4,12.2,12.2
Houéyihô,Vodjè-Centre,1,23.8,11.9,11.9
Godomey-Togoudo,Sèdomey,1,21.4,10.7,10.7
Adjagbo,Misséssinto,1,20.8,10.4,10.4
Guinkômey,Tokpa-Hoho,1,20.1,10.1,10.1
Cadjèhoun-Azalokogon,Houéyihô,1,19.9,9.9,9.9
Drabo,Kpossidja,2,19.5,9.8,9.8
"Hounzévié
",Hêvié,2,18.3,9.1,9.1
Mènontin,"Sèdjannako
",1,18.3,9.1,9.1
Houéyihô-Tannou,Missogbé,1,16.7,8.3,8.3
Xwlacôdji-Kpodji,Xwlacôdji-Plage,1,15.9,8.0,8.0
"Fifonsi
",Tankpè-Tanmè,1,14.8,7.4,7.4
Adjogansa,Kolètin,1,14.1,7.0,7.0
Alansankomè,Ouèdo,1,14.0,7.0,7.0
Akossavié,"Hounzévié
",1,13.8,6.9,6.9
Kolètin,Sokan,1,13.6,6.8,6.8
Aïfa-Calavi,"Cité-les-Palmiers
",1,13.6,6.8,6.8
"Maria-Gléta
",Tankpè-Togoudo,1,12.9,6.5,6.5
Agori,"Tokpa-Zoungo-Nord
",1,12.4,6.2,6.2
Adjogansa,Lohoussa,1,12.0,6.0,6.0
Adovié,Hêvié,1,11.8,5.9,5.9
Agonmé,Azonsa,1,11.7,5.8,5.8
Gbèdiga-Guêdêhounguè,Zongo-Ehuzu,1,11.6,5.8,5.8
Adjogansa,Zinvié-Agolèdji,1,11.6,5.8,5.8
Adjagbo-Aïdjèdo,"Dessato
",1,11.5,5.8,5.8
Domey-Gbo,Kansounkpa,1,10.8,5.4,5.4
Ahouansori-Towéta,Ahouansori-Towéta-Kpota,1,10.8,5.4,5.4
Zinvié-Fandji,Zinvié-Zounmè,1,10.7,5.4,5.4
Golo-Djigbé,Zèkanmey,1,9.8,4.9,4.9
Akpakpa-Dodomè,Ohé,2,9.8,4.9,4.9
Agongbé,Golo-Djigbé,1,9.7,4.8,4.8
Gbétagbo,Zèkanmey-Domè,2,9.6,4.8,4.8
Dassèkomey,Dossounou,1,9.4,4.7,4.7
Djèkpota,Togbin-Daho,1,9.0,4.5,4.5
Ahouato,Alansankomè,1,7.9,4.0,4.0
Golo-Djigbé,Yêkon-Aga,1,7.4,3.7,3.7
Agonkèssa,Azonsa,1,7.3,3.7,3.7
Alègléta,Tankpè-Togoudo,1,6.7,3.4,3.4
Avagbé,Yèvié,1,6.6,3.3,3.3
Ahogbohoué-Cité-Eucharistie,Missogbé,1,3.0,1.5,1.5
Jéricho-Sud,Sèdami,1,2.5,1.3,1.3
