nid,lat,lng,n_quartiers,name_a,dist_a_m,name_b,dist_b_m,others,asymmetry,road_context,primary_highway,n_road_edges,in_roundabout,has_bridge,has_dual_connector_edge,dist_to_water_m,classification
3547,6.391997,2.347908,2,Hlouacomey,139.0,Yolomahouto,230.0,,0.396,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
24484,6.392217,2.346581,3,Yolomahouto,139.4,Hlouacomey,194.8,"Nonhouénou
",0.284,road_segment,residential,2,False,False,False,,MULTI_QUARTIER
5720,6.359061,2.397554,2,Cadjèhoun-Agonga,246.3,Cadjèhoun-Azalokogon,253.2,,0.027,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
83686,6.365711,2.389958,2,Houénoussou,172.8,Missité,197.5,,0.125,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
10852,6.361741,2.380751,2,Aïbatin-Kpota,242.0,Aïbatin-Dodo,293.5,,0.176,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
3700,6.384218,2.39191,2,Midédji,218.8,Missogbé,298.9,,0.268,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
2100,6.369016,2.408646,3,Gbégamey-Dodo-Ayidjè,195.9,Gbégamey-Gbagoudo,250.2,Vodjè-Allobatin,0.217,intersection,residential,4,False,False,False,,MULTI_QUARTIER
2091,6.367799,2.408015,2,Vodjè-Allobatin,189.3,Gbégamey-Dodo-Ayidjè,270.9,,0.301,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
24524,6.392942,2.346483,3,Hlouacomey,147.7,Yolomahouto,230.4,"Nonhouénou
",0.359,road_segment,residential,2,False,False,False,,MULTI_QUARTIER
69364,6.392602,2.346673,3,Hlouacomey,150.8,Yolomahouto,183.5,"Nonhouénou
",0.178,road_segment,residential,2,False,False,False,,MULTI_QUARTIER
33308,6.393649,2.343875,2,"Nonhouénou
",185.3,Salamey,269.3,,0.312,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
33304,6.393227,2.344278,2,"Nonhouénou
",163.9,Salamey,273.5,,0.401,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
1261,6.359886,2.433314,2,Avlékété-Joncquet,246.6,Missité,277.5,,0.111,intersection,tertiary,5,False,False,False,,PLAUSIBLE_FRONTIER
