quartier,commune,confidence,area_m2,perimeter_m,road_length_m,n_road_vertices,compactness,n_neighbours,low_confidence_reasons
Cadjèhoun-Agonga,COTONOU,HIGH,363704.3,4514.2,5415.3,182,0.224,0,
Kowégbo,COTONOU,HIGH,298977.7,3905.7,4532.7,110,0.246,0,
"Amahoun
",ABOMEY-CALAVI,HIGH,930301.7,13210.9,19914.0,700,0.067,0,
"Zounga
",ABOMEY-CALAVI,HIGH,553702.6,6689.0,8172.2,250,0.156,0,
Vossa,COTONOU,HIGH,229497.1,3309.9,3459.8,124,0.263,0,
"Tokpa-Zoungo-Nord
",ABOMEY-CALAVI,HIGH,749228.7,7700.1,12135.6,406,0.159,0,
"Gbodjè-Womey
",ABOMEY-CALAVI,HIGH,1272619.7,13019.4,19442.5,626,0.094,0,
Kindonou,COTONOU,HIGH,224383.7,2765.6,13132.2,380,0.369,0,
Minonkpô-Wologuèdè,COTONOU,HIGH,168620.0,3020.2,2306.0,50,0.232,0,
Agbondjèdo,COTONOU,HIGH,139655.6,2061.0,1948.9,42,0.413,1,
Midédji,COTONOU,HIGH,163523.0,2255.0,2879.9,72,0.404,0,
Kpankpan,COTONOU,HIGH,319544.0,3806.9,4693.1,134,0.277,1,
"Fignonhou
",ABOMEY-CALAVI,HIGH,401839.7,4154.8,6655.2,222,0.293,0,
Vodjè-Ayidoté,COTONOU,HIGH,174332.1,2351.0,2957.8,110,0.396,0,
Houéhoun,COTONOU,HIGH,197699.6,3236.4,2796.2,58,0.237,1,
Tonato,COTONOU,HIGH,265846.5,3366.4,5484.3,146,0.295,0,
Aïdjèdo-Ahito,COTONOU,HIGH,66277.6,1338.9,973.4,26,0.465,0,
Fignon-Sikê,COTONOU,HIGH,115021.9,2321.5,1476.1,34,0.268,0,
Védokô,COTONOU,HIGH,339320.9,4117.8,6160.4,184,0.251,0,
Avotrou-Aïmonlonfidé,COTONOU,HIGH,448858.7,5015.8,7897.5,226,0.224,0,
Azonsa,ABOMEY-CALAVI,LOW,958575.9,17965.3,12560.5,536,0.037,0,sliver shape (compactness 0.037)
Tankpè-Tanmè,ABOMEY-CALAVI,HIGH,1709622.0,11236.6,27949.6,1218,0.17,0,
Ayélawadjè,COTONOU,HIGH,163482.1,3038.3,2072.1,48,0.223,0,
Avlékété-Joncquet,COTONOU,HIGH,134850.2,2683.1,2145.0,50,0.235,0,
Gbégamey-Dodo-Ayidjè,COTONOU,HIGH,88824.4,1928.9,1219.0,30,0.3,0,
Misséssin,COTONOU,HIGH,71916.4,1544.5,1034.9,24,0.379,0,
Dandji,COTONOU,HIGH,371651.4,6614.6,6370.8,176,0.107,0,
Avotrou-Houézèkomè,COTONOU,HIGH,447662.1,5495.0,6895.6,170,0.186,0,
Djidjè-Aïchédji,COTONOU,HIGH,188493.0,2662.5,2634.4,68,0.334,0,
Missèbô,COTONOU,HIGH,190536.2,2978.1,2816.6,78,0.27,0,
Mèdédjro,COTONOU,HIGH,226072.7,3528.6,3049.7,70,0.228,1,
Sènadé-Sèkon,COTONOU,HIGH,237535.5,2919.8,3518.5,100,0.35,0,
Aïdjèdo-Gbègo,COTONOU,HIGH,114613.6,2192.9,1441.8,30,0.3,0,
Cadjèhoun-Gare,COTONOU,HIGH,177709.0,3445.6,2620.0,60,0.188,0,
Missèkplé,COTONOU,HIGH,304329.1,4550.1,5815.5,110,0.185,0,
Ahogbohoué-Cité-Eucharistie,COTONOU,HIGH,192915.5,2638.9,2780.4,68,0.348,0,
Cocotomey,ABOMEY-CALAVI,HIGH,770564.7,9255.6,13168.4,412,0.113,0,
Dagbédji-Sikê,COTONOU,HIGH,75562.5,1564.9,1028.6,18,0.388,0,
"Zoundja
",ABOMEY-CALAVI,LOW,3093923.1,41348.7,43574.8,1386,0.023,0,sliver shape (compactness 0.023)
Tanto,COTONOU,HIGH,242679.9,4235.3,3414.5,98,0.17,0,
Bocossi-Tokpa,COTONOU,HIGH,109625.2,2326.1,1302.9,52,0.255,0,
"Fandji
",ABOMEY-CALAVI,HIGH,1583519.8,17133.6,25069.5,728,0.068,0,
Agamandin,ABOMEY-CALAVI,HIGH,1124362.0,12058.9,15844.8,642,0.097,0,
Gbédokpo,COTONOU,HIGH,129746.5,1877.3,1852.8,44,0.463,0,
