qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
210,292,Aïbatin-Kpota,13ème Arrondissement,Gbèdégbé,13ème Arrondissement,1,point,0.0,,6.363541,2.383913,277.3,298.2,0.07,residential,
210,292,Aïbatin-Kpota,13ème Arrondissement,Gbèdégbé,13ème Arrondissement,1,point,0.0,,6.364141,2.383693,291.9,291.0,0.003,residential,
134,163,Zongo-Nima,5ème Arrondissement,Gbéto,5ème Arrondissement,1,point,0.0,,6.35813,2.426942,252.9,285.3,0.113,secondary|tertiary,
134,198,Zongo-Nima,5ème Arrondissement,Dota,5ème Arrondissement,1,point,0.0,,6.35813,2.426942,252.9,298.3,0.152,secondary|tertiary,
52,63,Tokpa-Hoho,5ème Arrondissement,Xwlacôdji-Kpodji,5ème Arrondissement,2,linear_corridor,58.4,57.5,6.35644,2.4387,271.9,277.8,0.021,primary|secondary|tertiary,3.43
194,300,Adjégounlè,3ème Arrondissement,Ayélawadjè,3ème Arrondissement,1,point,0.0,,6.374964,2.446895,250.3,282.0,0.113,residential|secondary,
22,52,Missèbô,5ème Arrondissement,Tokpa-Hoho,5ème Arrondissement,2,intersection,16.2,51.4,6.36097,2.43775,277.2,266.2,0.04,secondary|service|tertiary,12.35
10,255,Minonkpô-Wologuèdè,8ème Arrondissement,Énagnon-Sikê,7ème Arrondissement,1,point,0.0,,6.372782,2.415327,253.0,281.6,0.102,residential|secondary,
62,291,Vodjè-Centre,11ème Arrondissement,Vodjè-Kpota,12ème Arrondissement,3,intersection,37.1,110.3,6.369346,2.400899,273.2,265.5,0.028,residential|secondary,8.09
112,266,Irédé,2ème Arrondissement,Fifatin,3ème Arrondissement,1,point,0.0,,6.372269,2.454349,294.5,246.0,0.165,residential,
104,196,Aïdjèdo,6ème Arrondissement,Aïdjèdo-Vignon,6ème Arrondissement,1,point,0.0,,6.379436,2.426574,266.2,274.7,0.031,residential,
195,254,Salamey,Godomey,Yolomahouto,Godomey,6,intersection,102.4,52.1,6.391925,2.344484,255.9,250.6,0.02,residential,5.86
185,234,Ladji,6ème Arrondissement,Ahouansori-Towéta-Kpota,6ème Arrondissement,1,point,0.0,,6.391438,2.429922,240.8,292.4,0.176,residential,
266,300,Fifatin,3ème Arrondissement,Ayélawadjè,3ème Arrondissement,1,point,0.0,,6.374381,2.451646,265.7,290.3,0.085,residential,
183,197,Midombo,3ème Arrondissement,Sègbèya-Sud,3ème Arrondissement,1,point,0.0,,6.37979,2.444606,278.0,276.2,0.006,residential,
45,250,Agounvocôdji,10ème Arrondissement,Zogbohouè,9ème Arrondissement,1,point,0.0,,6.389394,2.383239,284.1,268.1,0.056,tertiary,
9,40,Tankpè-Togoudo,Godomey,"Maria-Gléta
",Godomey,1,point,0.0,,6.420048,2.309296,261.6,286.5,0.087,residential|tertiary,
11,164,"Djoukpa-Togoudo
",Godomey,Sèdomey,Godomey,2,intersection,19.1,-147.0,6.403569,2.339711,285.0,290.0,0.017,residential,10.48
