name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Cadjèhoun-Gare,COTONOU,12ème Arrondissement,6.361853,2.40415,7.5,4,90087,4,6,0,150.0,0,0,0,False,GOOD
Adôgléta,COTONOU,3ème Arrondissement,6.385718,2.440328,11.0,4,90087,12,13,2,108.3,2,0,2,False,PARTIAL
Ahouansouri-Agata,COTONOU,6ème Arrondissement,6.382916,2.424336,7.0,5,90087,14,15,3,107.1,5,1,8,False,PARTIAL
Kansounkpa,ABOMEY-CALAVI,Abomey-Calavi,6.507109,2.315061,6.2,3,90087,12,8,5,66.7,2,0,0,False,PARTIAL
Agla-Akplomey,COTONOU,13ème Arrondissement,6.384276,2.35645,4.1,4,90087,9,8,1,88.9,0,0,0,False,GOOD
Irédé,COTONOU,2ème Arrondissement,6.372437,2.457055,6.9,8,90087,9,10,0,111.1,0,0,2,False,GOOD
"Womey-Centre
",ABOMEY-CALAVI,Godomey,6.405839,2.305494,20.6,3,90087,12,12,2,100.0,-1,0,0,False,PARTIAL
Dédokpo,COTONOU,4ème Arrondissement,6.367694,2.442308,17.8,4,90087,7,6,2,85.7,0,0,0,False,PARTIAL
"Sodo
",ABOMEY-CALAVI,Godomey,6.403401,2.294956,7.3,4,90087,17,14,6,82.4,-3,0,8,False,PARTIAL
Kpankpan,COTONOU,3ème Arrondissement,6.377175,2.439282,5.2,4,90087,13,9,4,69.2,-2,0,2,False,PARTIAL
Tanto,COTONOU,1er Arrondissement,6.367756,2.472004,7.4,5,90087,11,7,6,63.6,-1,0,2,False,PARTIAL
Vodjè-Allobatin,COTONOU,11ème Arrondissement,6.369169,2.406858,9.8,5,90087,5,7,0,140.0,0,0,2,True,GOOD
Ahouanlèko,COTONOU,12ème Arrondissement,6.353326,2.407532,7.8,2,90087,12,8,4,66.7,-1,1,5,False,PARTIAL
