name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Fidjrossè-Centre,COTONOU,12ème Arrondissement,6.357693,2.370617,9.7,3,90099,80,74,16,92.5,18,0,0,True,PARTIAL
Sodjatinmè-Est,COTONOU,4ème Arrondissement,6.370001,2.459957,2.7,3,90099,81,55,28,67.9,6,0,2,True,PARTIAL
Adjagbo,ABOMEY-CALAVI,Ouèdo,6.479041,2.279968,11.9,2,90099,43,44,7,102.3,11,0,0,False,PARTIAL
Gbégamey-Ahito,COTONOU,11ème Arrondissement,6.364892,2.408136,5.8,5,90099,60,44,16,73.3,3,0,3,True,PARTIAL
Dandji,COTONOU,1er Arrondissement,6.36827,2.478233,6.4,6,90099,62,52,14,83.9,6,1,5,False,PARTIAL
Godomey-N'Gbèho,ABOMEY-CALAVI,Godomey,6.372827,2.340682,4.0,4,90099,109,97,14,89.0,2,0,0,False,PARTIAL
"Zoundja
",ABOMEY-CALAVI,Abomey-Calavi,6.49741,2.336395,11.0,7,90099,63,40,27,63.5,20,0,5,True,PARTIAL
Abokicodji-Lagune,COTONOU,4ème Arrondissement,6.364563,2.442343,27.9,6,90099,57,44,14,77.2,7,0,0,True,PARTIAL
Mèdédjro,COTONOU,8ème Arrondissement,6.384965,2.410204,12.7,4,90099,53,30,23,56.6,0,0,0,False,PARTIAL
Zogbo,COTONOU,9ème Arrondissement,6.392713,2.390599,2.2,3,90099,72,53,19,73.6,2,0,0,False,PARTIAL
Mifongou,COTONOU,5ème Arrondissement,6.363625,2.425367,14.1,5,90099,51,45,8,88.2,-2,0,8,True,PARTIAL
Gbégamey-Gbagoudo,COTONOU,11ème Arrondissement,6.371445,2.409802,13.6,11,90099,57,69,3,121.1,15,1,12,True,PARTIAL
Agla-Petit-Château,COTONOU,13ème Arrondissement,6.381824,2.372759,6.7,3,90099,116,92,26,79.3,29,0,3,True,PARTIAL
Midédji,COTONOU,10ème Arrondissement,6.386138,2.392249,2.3,4,90099,76,45,32,59.2,2,0,0,False,PARTIAL
